Société ,Adresse,Produits,Biostimulants & Growth Enhancers,Fertilizers & Soil Conditioners,General Agriculture & Other,Microbial & Organic Solutions,Other,Pesticides & Fungicides,Latitude,Longitude
AGRI EXPERT,"166 Avenue de Gabès - Z.I. Mghira III - 2082 Fouchana, Tunisia",ALGA-PLEX FOLIASTIM B MO LIQUIDE FOLIASTIM MN/ZN FOLIASTIM MIX TE LIQUIDE ,0,1,0,0,0,0,36.70048,10.1685
Atlas Agricole S.A.,"Zone industrielle, Djebel El Oust, 1111 Zaghouan, Tunisia",PHYLGREEN TRADEBOR TRADECORP AZ TRADECITRUS ULTRAFERRO,1,1,0,0,0,0,36.5528673,10.0452277
FERTI AGRO,"Route de Tunis km 10, Sakiet Ezzit 2033 Megrine St Gobain, Tunisia",FORCE CYT FORCE SIL FORCEX ECO,0,1,0,0,0,0,34.0,9.0
Sociéte NABHANA ,"57 Rue HediChaker 3100 Kairouan Tunisie, Tunisia",GLOPPDER ALGAPOWER LIGNOMIX CRIPTHUM,0,0,0,1,0,0,35.6781,10.09633
LIEN AGRICOLE,"Zone industrielle, 7030 Mateur, Tunisia",FULLVIGOR BIFIDUS,0,0,0,1,0,0,37.04045,9.66557
ociété Saidi de Collecte des  Céréales (SSCC) ,"Immeuble Golden Towers Bur. 3-5; 3ème étage - Centre Urbain Nord 1082 Tunis, Tunisia",FARINA DI BASALTO,0,0,0,0,1,0,36.81897,10.16579
Agriprotec ,"Km 11, Route de Mornag, 2090 Mornag, Tunisia",BASFOLIAR SIZE SLALGA 600 VITANICA RZ BIO,0,1,0,0,0,0,34.0,9.0
SANABEL AGRO ,"Z.I. Route Menzel Bourguiba,7030 Mateur, Tunisia",ECKLOMAR,0,0,1,0,0,0,37.04045,9.66557
BH FARMS SERVICE AGRICOLE ,"56, Avenue de la Liberté, 1001 Bab El Bhar, Tunis, Tunisia",BLACKFORT SUPER FIFTY,0,0,1,0,0,0,36.879795,10.3319648
BIO FERTILIZER UNIT,"Km 4, Route Soliman, 8030 Grombalia, Tunisia",TERIOS LIQUIDO,0,0,1,0,0,0,36.59894,10.50032
PROMOCHIMIE,"28, Rue 8601-B.P65-ZI Charguia 1 2035 Tunis Carthage.Tunisie, Tunisia",BLACKJAK PERFECTOSE STIMUL NOSSUM SP,0,0,0,0,0,1,34.0,9.0
BS Agro,"2 Rue camomille Fouchana 2082 Ben Arous Tunisie, Tunisia",ICC ICI,0,0,1,0,0,0,36.75306,10.21889
COTUGRAIN,"Z.I. Saint-Gobain, 2014 Megrine, Tunisia",POWHUMUS WSG 85 ,0,0,1,0,0,0,36.76917,10.23639
El Khadra,"Avenue Taieb M’hiri, 5000 Monastir, Tunisia",ALGADUL CUPRO ACTIV DCM VIVIKALI HUMILIG 25 PLUS HUMILIG 8-8 NUTRIJISA ECOCAL FUSVICUR GLYBET VEGETAMIN ECO GROBEL NPK 4-3- 3+1MGO MOLEX TARSSAN MIX VEGETAMIN ECO HUMILIG 11-5 ASCOFILLUM MICOPRON JISAQUEL FE S-6,1,1,0,0,0,1,35.77799,10.82617
EVEREST AGRI,"62, Avenue de Carthage -1000 Tunis, Tunisia",BESTCURE BIORADICANTE BOTAMISOL PRO 80 DEFENDER CALCIO DEFENDER MZ ALGALIV DEFENDER B FITOMAAT FRUTALIV GOLDEN FER VIGORAL MOL VITALEM FORTE,1,1,1,0,0,1,36.7936007,10.1824896
Nutriplant ,"9, Rue Fatma El Fehria, Mutuelleville 1082 Tunis, Tunisia",VENI BIOSULFUR GREEN FORGE HOLD PLUS N-BALANCER PANORAMIX WHEAT REZIST VICI ACTIVE VITAMINA MIX,1,1,1,0,0,0,36.837293,10.1687885
FERTISTAR,"B.P. 42, CitéChaker, BorjTouil, Ariana, Tunisia",ACM AMINO 12 VEGETAL ACM AMINO 45 SOLID ACM BORO ACM CALCIO PLUS ACM CITRUS ACM COBRE ACM FUL EXTRA ACM HIERRO ACM HUMIC ACM MAR 20 ACM POTASIO GEL ACM SEAFORCE AGRIFUL AGRIPHYT CONTACT ZN/MN CONTROLPHYT CU AGRI M 40 FERTIGRAIN START FERTIGRAIN FOLIAR TECAMIN MAX ACM MAR S ,1,1,0,0,0,0,36.86012,10.19337
Société Tunisienne de  Technologie Agricole  (STT AGRI) ,"Bureau B1, bloc B, Immeuble Rahma, Rue du lac Houran, Berges du lac, 1035 Tunis, Tunisia",AGRIFUL AGRIPHYT CONTACT CONTROLPHYT CU IDAI ALGAFER IDAI BROTAVERD AGRI M40  NUTRIPLUSORGANIC4-3-3 TECAMIN MAX ZN-MN IDAI CA SOIL IDAI K PLUS,1,1,0,0,0,0,,
Société Tunisienne d’Engrais et  de Produits Agricoles  (STEPA) ,"Rue MongiSlim, 8010 Menzel Bouzelfa, Nabeul, Tunisia",BOMBARDIER BOMBARDIER SUGAR BORKO CAOS XT GREENCROP RHYZO ESPARTAN,0,1,0,0,0,1,36.45606,10.73763
IGC,"Immeuble Molka, Avenue la Bourse, Les Berges du Lac 2, 1053 La Marsa, Tunisia",EARTH ALIVE SOIL ACTIVATOR,0,0,0,1,0,0,47.28167,8.45023
LIEN AGRICOLE,"Zone industrielle, 7030 Mateur, Tunisia",FULLVIGOR BIFIDUS,0,0,0,1,0,0,37.04045,9.66557
Agrobest,"Korba, Tunisia, Tunisia",FERROACTIV H48 FLOCROP B,0,0,0,0,0,1,36.8353484,10.3098679
PLANETE VERTE,"Route de Kef, 9070 Medjez El Bab, Tunisia",ACA 27 ORGANIC MIX DRIP COMPBI FERTICROP ORGANIC PLUS,0,0,0,1,0,0,36.64964,9.61231
Société d’Engrais et de Produits  Chimiques de Mégrine (SEPCM),"20, Avenue Taieb M’hiri, 2014 Megrine, Tunisia",AGRI-OSMOZ,0,0,0,1,0,0,36.76917,10.23639
Agriup Distribution,"18, Rue Mhamed Ali - Mégrine côteau-2033, Tunisia",SANBIO EPSOMIT SANBIO TERRA SANBIO PLANTA SANBIO SANA,0,1,0,0,0,0,34.0,9.0
Société Tunisienne des Engrais  Chimiques (STEC),"El Afrane - 1009 El Ouardia, Tunis, Tunisia",ORGAFLOW BIOCAL,0,0,0,1,0,0,36.7796674,10.1966209
Société Tunisienne des Intrants  et de Matériels Agricoles  (STIMA),"Passage du Lac Ammar - Résidence Yasmine, Les Berges du Lac - 1035 Tunis, Tunisia",MAINSTAY CALCIO,0,0,0,0,1,0,46.91016,7.14088
Agrimatco Tunisie,"Angle rue de l’électricité et rue d’Oran, Z.I. Ben Arous 2013, Tunisia",TURBO,0,0,1,0,0,0,36.75306,10.21889
